month,P_t,D_t,S_t
2015-11-01,567247325.0,105420450.0,0.1858456538336254
2015-12-01,667910550.0,132390000.0,0.19821516518941046
2016-01-01,518403400.0,95297250.0,0.18382836609482114
2016-02-01,619446250.0,114926225.0,0.1855305847763224
2016-03-01,949367550.0,174675525.0,0.1839914635801487
2016-04-01,537278275.0,97571675.0,0.18160361127573973
2016-05-01,417538850.0,76037050.0,0.18210772482608503
2016-06-01,488623850.0,85719375.0,0.1754301903191995
2016-07-01,488020900.0,93131575.0,0.19083521832773964
2016-08-01,517053650.0,97300650.0,0.1881828897252732
2016-09-01,399512400.0,70810300.0,0.1772418077636639
2016-10-01,464760675.0,71290250.0,0.15339131263633696
2016-11-01,492691125.0,78258200.0,0.15883825794507664
2016-12-01,507872775.0,83676550.0,0.16475888080435105
2017-01-01,470400950.0,67090175.0,0.1426233833073679
2017-02-01,417331475.0,58054800.0,0.13910956512446132
2017-03-01,550237050.0,72771325.0,0.13225449831122785
2017-04-01,437930725.0,57771875.0,0.13192012275457493
2017-05-01,549518775.0,71256225.0,0.129670228282919
2017-06-01,550982575.0,68422700.0,0.12418305606125565
2017-07-01,569393925.0,69071100.0,0.12130635218842561
2017-08-01,620409250.0,68791725.0,0.11088120462420571
2017-09-01,601398225.0,70986375.0,0.11803555788678957
2017-10-01,577822025.0,59947000.0,0.10374647799207723
2017-11-01,645542600.0,57576550.0,0.08919093797992572
2017-12-01,593989500.0,53902650.0,0.09074680613041139
2018-01-01,584275125.0,42923675.0,0.07346483388283902
2018-02-01,533093100.0,37808650.0,0.07092316520322622
2018-03-01,624413475.0,40673800.0,0.06513920923951873
2018-04-01,685339900.0,40537700.0,0.059149773710825825
2018-05-01,733698150.0,39354325.0,0.053638304798778624
2018-06-01,661391150.0,29541400.0,0.04466555078639924
2018-07-01,688012100.0,23443525.0,0.034074291716671846
2018-08-01,739736100.0,17586050.0,0.023773410544652342
2018-09-01,635394775.0,12726375.0,0.020029083493801156
2018-10-01,746131475.0,10558400.0,0.014150857260109553
2018-11-01,666934725.0,7337175.0,0.011001338999105197
2018-12-01,637843075.0,3737850.0,0.005860140442851088
